User_Type,Budget($),Purchased_Items
Hospital,21004,"SM5162, SM1987, SM5169"
Hospital,15914,"SM2773, SM4653, SM1685, SM1792"
Hospital,33162,SM4252
Clinic,17677,"SM4373, SM2085"
Surgeon,12046,SM2003
Surgeon,4598,"SM3232, SM3207, SM2885, SM4634, SM2006"
Surgeon,12723,"SM2870, SM3732, SM3129"
Procurement Officer,3121,"SM3985, SM1993, SM4326"
Hospital,44834,"SM2885, SM3154, SM2637, SM3850"
Procurement Officer,2281,SM3242
Procurement Officer,2314,"SM2782, SM2151, SM4431, SM2555, SM4305"
Procurement Officer,8985,"SM2159, SM2593, SM4496"
Surgeon,8053,SM4653
Hospital,47121,"SM2500, SM2835, SM2811, SM1640"
Surgeon,14865,"SM4995, SM3270, SM4690"
Procurement Officer,4678,"SM3515, SM3785, SM4809, SM4499, SM2553"
Clinic,15077,"SM2123, SM4433, SM2163"
Procurement Officer,7744,"SM4274, SM3730, SM3735"
Surgeon,7312,"SM3251, SM2784, SM5218, SM1887"
Clinic,14970,SM2801
Hospital,49414,SM4654
Hospital,10345,"SM2843, SM3717, SM4489, SM3217"
Clinic,14367,"SM3278, SM4346, SM1929, SM2612"
Clinic,18254,"SM2616, SM2851, SM5123"
Hospital,37491,SM3716
Clinic,10152,SM1941
Clinic,7099,"SM2134, SM1836, SM1878, SM4595, SM1891"
Surgeon,4335,"SM3627, SM1987, SM1926"
Procurement Officer,4818,SM3225
Clinic,7097,"SM1620, SM5040"
Clinic,18387,SM1758
Clinic,6828,"SM3518, SM3512"
Hospital,34656,"SM3095, SM3106"
Procurement Officer,6243,"SM2577, SM1946"
Surgeon,11063,"SM3136, SM3211, SM2500, SM1763, SM2924"
Procurement Officer,5895,"SM1865, SM3075, SM1085, SM3704, SM2473"
Hospital,41414,"SM2605, SM4613"
Procurement Officer,9634,SM3708
Hospital,28387,SM5205
Clinic,8188,"SM1802, SM4250, SM5049, SM6153"
Clinic,11819,"SM3516, SM2567"
Procurement Officer,5934,"SM3152, SM3108, SM1950, SM1836, SM4894"
Hospital,38328,SM2865
Surgeon,10817,"SM3789, SM3726, SM3740"
Hospital,42105,"SM2122, SM5102"
Clinic,17239,"SM3247, SM4973"
Procurement Officer,2837,"SM5140, SM2437, SM2690, SM4832, SM2498"
Surgeon,13549,SM3235
Clinic,9469,"SM1807, SM1892, SM2457, SM1997"
Procurement Officer,7223,"SM1943, SM4322, SM3718"
Clinic,19406,SM4552
Hospital,33351,"SM5003, SM2922, SM2831"
Procurement Officer,9194,SM4651
Clinic,12966,"SM2167, SM5130, SM5226, SM5155, SM1660"
Surgeon,7082,"SM1611, SM3210, SM4508, SM3726"
Procurement Officer,2435,"SM4955, SM4371, SM4301, SM4245, SM3741"
Hospital,33570,"SM2948, SM3110, SM3033, SM4814, SM4549"
Clinic,5436,SM3793
Hospital,22905,"SM4863, SM2742, SM1879, SM5146"
Surgeon,7578,"SM3571, SM1834, SM1883"
Surgeon,5252,"SM3556, SM4449, SM1867"
Surgeon,14688,"SM1847, SM1965"
Procurement Officer,3116,"SM3748, SM3138, SM1880"
Clinic,12211,"SM2033, SM3523"
Hospital,36016,SM3578
Surgeon,10784,"SM4271, SM2708, SM3065"
Procurement Officer,4510,"SM1691, SM2095"
Surgeon,8050,SM1789
Clinic,19101,"SM3239, SM1997, SM4273"
Procurement Officer,6703,"SM4596, SM2456, SM4966"
Surgeon,8035,"SM4610, SM2814, SM1660"
Surgeon,4727,"SM2788, SM4493, SM4791"
Hospital,36881,"SM2450, SM2500, SM1547, SM4502"
Hospital,23663,"SM4250, SM2046, SM4950, SM4406"
Clinic,7070,"SM4461, SM4655, SM3146"
Clinic,19289,"SM4791, SM1594, SM5176"
Clinic,8858,"SM5165, SM2734, SM2689"
Procurement Officer,7235,"SM2715, SM3521, SM4560, SM5156"
Procurement Officer,4384,"SM4341, SM4486, SM4612"
Surgeon,12828,"SM4372, SM2829"
Clinic,14635,"SM4207, SM3066"
Procurement Officer,3904,"SM1622, SM2488"
Clinic,16253,"SM4865, SM2070, SM4431, SM2831, SM2819"
Clinic,17488,"SM2110, SM4361, SM2220"
Procurement Officer,5928,SM2444
Clinic,18837,"SM2578, SM3555, SM1971"
Clinic,9074,"SM2556, SM2103, SM1410, SM3550, SM5038"
Hospital,28592,SM2863
Hospital,26504,"SM2135, SM4632, SM4617, SM2885"
Procurement Officer,6614,"SM2933, SM3082, SM2698, SM4320, SM2860"
Clinic,5009,"SM4563, SM3145, SM4997, SM2938"
Surgeon,3209,SM2931
Clinic,6740,"SM4510, SM3121, SM2082, SM1821, SM2072"
Hospital,10000,"SM2701, SM2460, SM1917, SM2552"
Clinic,5656,"SM4676, SM2152, SM1807"
Hospital,48427,"SM4228, SM3124, SM1777"
Surgeon,12762,"SM4214, SM1610, SM5150, SM3116, SM1697"
Clinic,14716,SM2685
Hospital,38080,"SM2744, SM3646, SM2915"
Hospital,49717,"SM4322, SM3269"
Procurement Officer,2534,"SM4840, SM4336"
Hospital,18157,"SM3789, SM2856"
Hospital,32877,SM2892
Clinic,13951,"SM4840, SM5218, SM2605"
Procurement Officer,4450,"SM3762, SM4646, SM5043"
Clinic,15948,"SM4876, SM4548, SM2433"
Surgeon,8814,"SM5049, SM3222"
Hospital,41547,"SM3756, SM3115, SM4301, SM3129"
Clinic,6502,SM3216
Procurement Officer,7047,"SM1945, SM3297"
Surgeon,8442,"SM2103, SM2805, SM3793, SM4373, SM3184"
Clinic,14777,"SM4974, SM4807, SM4440, SM5207, SM1924"
Clinic,5728,SM3711
Procurement Officer,8142,"SM4487, SM4834, SM1861"
Procurement Officer,4202,"SM4969, SM1835, SM2604, SM2554"
Hospital,35009,"SM1803, SM3708"
Surgeon,11725,"SM2468, SM2063, SM2636, SM1856, SM2474"
Procurement Officer,6549,SM4337
Surgeon,3978,"SM3281, SM5115, SM5124, SM1994"
Hospital,42375,"SM4512, SM1830, SM4590, SM4525, SM5221"
Hospital,15248,"SM4468, SM4813, SM4461, SM4479, SM5228"
Procurement Officer,4032,"SM3711, SM4856, SM4673, SM4665"
Clinic,11527,"SM5116, SM2742, SM2687, SM2747, SM3579"
Surgeon,11696,"SM1748, SM2926, SM1631, SM4210"
Procurement Officer,4060,SM2786
Procurement Officer,9883,SM1834
Hospital,22871,"SM2013, SM4810, SM3276, SM3215, SM1695"
Hospital,11112,"SM4558, SM4474, SM2103, SM3079, SM2925"
Surgeon,9216,"SM2755, SM5054"
Clinic,5581,"SM5206, SM2079, SM3128, SM1849, SM1788"
Clinic,12383,"SM1979, SM3239"
Hospital,20515,"SM5220, SM4521, SM3204, SM2939, SM2567"
Clinic,9298,"SM3054, SM5169, SM4622, SM1310"
Procurement Officer,6180,"SM3522, SM3069, SM3515"
Surgeon,5433,"SM2685, SM4670, SM2648, SM2632"
Clinic,7062,"SM4352, SM4864"
Clinic,17229,"SM4428, SM1866, SM1889"
Surgeon,6996,"SM4347, SM3235"
Surgeon,3820,"SM2869, SM1845, SM2087, SM2584, SM3263"
Hospital,18513,SM6149
Surgeon,8791,"SM4487, SM4578, SM4244, SM2804, SM2111"
Clinic,17373,"SM2048, SM1770, SM4830, SM3720"
Procurement Officer,4037,"SM1936, SM2148, SM4492, SM4451, SM1914"
Hospital,16248,"SM1666, SM4816"
Clinic,10945,"SM2729, SM3086, SM4892, SM4798"
Surgeon,5637,"SM3565, SM2557"
Surgeon,8011,"SM1711, SM3748, SM3571, SM2123, SM3725"
Hospital,32071,"SM4838, SM2711, SM4684"
Surgeon,3975,"SM2169, SM3768"
Hospital,19134,"SM2673, SM0451, SM2613, SM3221"
Clinic,13994,"SM3056, SM4893, SM4590"
Procurement Officer,8226,"SM4563, SM2058, SM4623"
Procurement Officer,4186,SM2814
Hospital,12007,"SM2435, SM3761, SM3501, SM3287"
Hospital,17190,"SM3547, SM3789"
Surgeon,3324,"SM1836, SM3132, SM2170"
Hospital,49249,"SM3290, SM3095, SM1624, SM3070"
Procurement Officer,5173,"SM1617, SM3245"
Hospital,29774,SM1890
Surgeon,6402,SM4952
Surgeon,3535,SM3300
Hospital,15989,"SM3239, SM1835"
Clinic,11157,"SM4569, SM1547, SM4978, SM3277"
Hospital,14187,"SM3082, SM4649, SM3220, SM3291, SM1856"
Clinic,13805,"SM5214, SM2436, SM3285"
Hospital,25414,SM2714
Procurement Officer,4127,"SM3283, SM4329, SM3539"
Clinic,18470,"SM3060, SM4203, SM0747"
Clinic,17922,"SM5182, SM4314, SM2887, SM3119, SM1822"
Clinic,15153,"SM3151, SM4324, SM4800"
Procurement Officer,6242,"SM3077, SM1838, SM3293, SM5054"
Clinic,13862,"SM5045, SM2481, SM0726, SM3140"
Hospital,46582,SM2090
Hospital,11545,"SM3557, SM4657, SM3110"
Clinic,8199,"SM4622, SM2649, SM4656"
Procurement Officer,9746,SM1636
Surgeon,7770,"SM2806, SM5218"
Clinic,15703,"SM2040, SM0451, SM1960"
Procurement Officer,2981,SM2701
Surgeon,10963,"SM4480, SM2471, SM5163, SM3579"
Clinic,10882,"SM3275, SM2014, SM3743, SM1794"
Clinic,8992,SM4999
Procurement Officer,5908,"SM4675, SM5130, SM5061, SM2714, SM2004"
Clinic,5344,"SM4698, SM1695, SM3130"
Surgeon,9897,"SM2008, SM5226, SM4577, SM3201, SM2859"
Procurement Officer,6001,SM1964
Clinic,5226,"SM4958, SM1644, SM5170"
Clinic,9394,"SM5181, SM4963, SM3769, SM4506"
Procurement Officer,4516,"SM4821, SM1635, SM1613"
Hospital,30499,"SM4417, SM2939, SM1309"
Hospital,35915,"SM3152, SM1789, SM4523"
Clinic,6456,SM5232
Clinic,7079,"SM4511, SM1769"
Hospital,39933,"SM1933, SM4251"
Hospital,25314,SM1881
Procurement Officer,2537,SM4433
Hospital,14492,"SM2027, SM2934, SM2782, SM2644, SM1813"
Clinic,18267,"SM2820, SM4629, SM1919, SM4799"
Clinic,13561,"SM1732, SM4407"
Procurement Officer,9896,"SM2128, SM5116, SM4616, SM1626"
Surgeon,11552,"SM3284, SM4863, SM2040, SM2820, SM3205"
Hospital,29303,"SM4348, SM2054, SM4437"
Procurement Officer,6979,"SM1609, SM5109, SM4512, SM2923, SM3781"
Hospital,29082,"SM1849, SM2711, SM3701, SM3554"
Procurement Officer,5994,"SM2660, SM2026, SM2863, SM5210, SM4488"
Clinic,16844,"SM2091, SM2945, SM3139"
Procurement Officer,2447,"SM4667, SM4981, SM3579"
Procurement Officer,2698,"SM4481, SM5209, SM4251"
Hospital,22645,"SM2026, SM3090, SM2029, SM4890, SM4564"
Surgeon,13624,SM2007
Hospital,16171,"SM5149, SM1993, SM2707"
Hospital,43585,"SM5196, SM3140, SM2108"
Surgeon,7915,SM3202
Procurement Officer,5123,"SM3563, SM1639, SM3280"
Procurement Officer,9351,"SM1643, SM1873"
Hospital,48289,SM4438
Clinic,11450,SM3578
Hospital,49813,"SM4953, SM2835, SM4798"
Procurement Officer,5432,"SM4982, SM1780, SM2825, SM5214"
Clinic,14297,"SM4565, SM4406, SM4457"
Procurement Officer,7569,"SM4890, SM3235, SM3234"
Hospital,36615,"SM4840, SM1658"
Surgeon,10158,"SM3051, SM4610, SM0451, SM1607"
Procurement Officer,8554,"SM5222, SM4551"
Procurement Officer,9254,"SM4352, SM3126, SM3718"
Hospital,48918,"SM3727, SM4861, SM2492"
Surgeon,10571,"SM2788, SM1547, SM2812, SM3511"
Procurement Officer,4391,"SM4241, SM2137, SM3111, SM3158, SM4523"
Surgeon,8723,SM4528
Clinic,12288,"SM2729, SM2455"
Hospital,44908,"SM4617, SM3207"
Clinic,12839,"SM1940, SM2635, SM5167, SM3202"
Hospital,15714,"SM3646, SM2629"
Surgeon,7121,"SM1965, SM4974, SM2137"
Procurement Officer,4915,"SM4363, SM4433"
Hospital,31579,"SM1711, SM4695, SM5169"
Hospital,44302,"SM4369, SM4680, SM2714, SM4570"
Surgeon,5093,"SM4637, SM2764, SM1846, SM2865, SM1827"
Hospital,30177,"SM3577, SM3711, SM5138"
Surgeon,8609,"SM3235, SM1664, SM4605, SM4810"
Hospital,15850,"SM1665, SM3088"
Procurement Officer,6002,"SM3706, SM5213, SM2935"
Procurement Officer,5071,"SM3545, SM4248, SM4226, SM2810, SM2939"
Clinic,17611,"SM5032, SM2009"
Surgeon,3686,"SM4345, SM4977, SM4372, SM2585, SM2611"
Clinic,11271,"SM1583, SM2741, SM3523, SM2555"
Surgeon,6459,SM1664
Clinic,7578,"SM4201, SM3090, SM5208, SM3710, SM4202"
Hospital,18799,"SM4236, SM4271"
Clinic,15684,"SM2052, SM3748, SM2498, SM4858, SM3264"
Procurement Officer,7181,"SM3262, SM4503, SM1825"
Procurement Officer,8313,"SM3256, SM2848, SM2646, SM3160"
Clinic,19383,"SM4559, SM3238"
Surgeon,10653,"SM4622, SM2491, SM1076, SM3520, SM1914"
Hospital,38924,"SM3511, SM3534, SM5160, SM4423"
Hospital,33168,"SM4315, SM4459, SM2566"
Procurement Officer,2379,SM4490
Hospital,38282,"SM3083, SM2854, SM4323, SM3723"
Surgeon,3247,SM3543
Surgeon,12240,SM4626
Clinic,10706,SM4961
Clinic,14533,SM2219
Surgeon,8761,"SM4524, SM4476, SM4217, SM2825, SM3538"
Clinic,10473,"SM2637, SM1622, SM3559, SM4547, SM3106"
Surgeon,11117,"SM3215, SM4577, SM1922, SM4453"
Clinic,17705,"SM3080, SM4369"
Procurement Officer,6307,"SM4994, SM2724, SM4856, SM2142, SM3730"
Procurement Officer,6775,"SM2761, SM4404, SM3211, SM1785, SM4639"
Procurement Officer,4219,"SM3577, SM2642, SM4511"
Procurement Officer,9493,"SM3271, SM4254, SM4523"
Procurement Officer,8340,SM2484
Hospital,30232,"SM4224, SM2718"
Clinic,5767,SM4965
Procurement Officer,4330,"SM5211, SM4209, SM2561, SM4448"
Procurement Officer,2410,"SM5232, SM4868, SM4596"
Clinic,17782,"SM3744, SM2865, SM2436, SM4689, SM1912"
Clinic,19503,"SM3120, SM1758, SM2892"
Clinic,11783,"SM4955, SM5181"
Clinic,13313,"SM4312, SM4986, SM2445"
Procurement Officer,5067,"SM2577, SM5196, SM4430, SM4425, SM4337"
Procurement Officer,7806,"SM2574, SM3766, SM2568, SM2656"
Hospital,24876,SM1595
Hospital,22123,"SM1309, SM2755"
Clinic,17614,"SM2057, SM1606"
Surgeon,6686,"SM2837, SM0493, SM5163"
Procurement Officer,4031,"SM5048, SM1812, SM1939"
Hospital,33134,"SM5034, SM2625"
Clinic,10798,"SM3737, SM4874, SM4514, SM2936"
Surgeon,10411,"SM2077, SM2057"
Surgeon,11230,"SM2559, SM2070, SM5159"
Surgeon,3234,"SM0745, SM3142, SM4573, SM1637, SM2500"
Clinic,6470,"SM4343, SM4417, SM4592, SM1880, SM4480"
Hospital,28379,SM4656
Clinic,19784,SM3573
Clinic,5048,"SM3291, SM2136, SM5034, SM2444"
Surgeon,7389,"SM4565, SM3729"
Procurement Officer,9586,"SM2939, SM4319, SM3521, SM2071"
Clinic,14756,"SM4671, SM1662, SM1684, SM3085"
Procurement Officer,6245,"SM2160, SM2121, SM2878, SM1606"
Hospital,19937,"SM3585, SM1872"
Surgeon,7564,"SM3293, SM3249, SM2705, SM1960"
Surgeon,3995,"SM4598, SM5183"
Surgeon,7132,"SM2488, SM4310, SM3237, SM2841, SM1825"
Clinic,9746,"SM2102, SM3243, SM4407"
Surgeon,6072,SM3029
Hospital,46731,SM4225
Hospital,19977,SM2730
Clinic,14414,"SM2649, SM1894, SM3572"
Procurement Officer,3041,"SM2627, SM3576, SM3521, SM4591, SM2746"
Hospital,10989,"SM4478, SM2818"
Clinic,5656,"SM4363, SM4464"
Surgeon,7986,"SM2121, SM4817, SM1997, SM3564, SM1794"
Clinic,13096,"SM4842, SM4250, SM1823"
Procurement Officer,5616,"SM2044, SM4370, SM4816"
Clinic,15312,SM4690
Hospital,21296,"SM4611, SM2447, SM2566, SM3768, SM2603"
Surgeon,10500,SM3532
Surgeon,11152,"SM3118, SM1650, SM3155, SM3775, SM4897"
Hospital,30913,"SM4642, SM4412"
Hospital,47235,"SM2851, SM4691, SM3244"
Procurement Officer,6537,"SM3211, SM3563, SM4647"
Hospital,25873,"SM2124, SM4861, SM1693"
Surgeon,13644,SM2686
Hospital,19799,"SM2601, SM2805, SM2140, SM4528"
Surgeon,10441,"SM4867, SM2153, SM3278, SM3143, SM4358"
Surgeon,12287,SM1808
Procurement Officer,7759,"SM1630, SM4611, SM2923, SM1855, SM3284"
Clinic,14304,"SM2639, SM1640, SM1659, SM1661"
Procurement Officer,2962,"SM1750, SM3107, SM5134"
Procurement Officer,3219,"SM3076, SM4438, SM2850, SM4823, SM4513"
Hospital,17747,"SM1683, SM5215, SM1664, SM3030"
Procurement Officer,7185,"SM4817, SM4221, SM2889"
Procurement Officer,5242,"SM4211, SM2870, SM5123, SM4417, SM2645"
Procurement Officer,2661,SM4577
Clinic,16750,"SM5039, SM4509, SM2727"
Surgeon,14396,"SM3531, SM1829"
Surgeon,13962,"SM0747, SM4469, SM2863, SM4851, SM2106"
Surgeon,8552,"SM1612, SM2151"
Procurement Officer,7686,"SM2859, SM1610"
Procurement Officer,7473,SM2563
Surgeon,9904,"SM1649, SM4308, SM1711, SM3113"
Clinic,9927,"SM4562, SM2861, SM2134, SM2920, SM2445"
Surgeon,3799,"SM1805, SM2614"
Surgeon,4733,"SM5119, SM2759"
Clinic,14126,"SM1765, SM3760"
Clinic,18639,"SM4859, SM3572, SM3783, SM4872"
Procurement Officer,3505,"SM2649, SM5166"
Hospital,30709,SM4816
Procurement Officer,6410,"SM4805, SM5149, SM3136, SM1885"
Hospital,23957,"SM4857, SM3216, SM4307, SM4578"
Surgeon,10223,"SM3114, SM1638, SM5133"
Procurement Officer,6481,"SM4499, SM5148, SM3181, SM1708, SM1945"
Clinic,7365,"SM4486, SM1579, SM4643, SM5178"
Hospital,41184,"SM4597, SM3257, SM1681, SM2498, SM3556"
Clinic,15118,"SM3851, SM1950"
Hospital,21454,SM3262
Surgeon,7497,"SM1788, SM4605, SM5171, SM5143, SM1807"
Hospital,27658,"SM4469, SM4360"
Clinic,14212,"SM1300, SM5199, SM1993, SM5177, SM4603"
Surgeon,7038,"SM2160, SM3748, SM4657, SM4595"
Surgeon,14726,"SM2602, SM1655, SM4505, SM4522, SM2926"
Hospital,38393,"SM2729, SM5057, SM2658, SM2923"
Clinic,7615,"SM3572, SM3001, SM1657, SM4436"
Hospital,44026,"SM2027, SM1927, SM1969, SM1674, SM1888"
Surgeon,4698,"SM3743, SM1817"
Hospital,30471,"SM2483, SM2754, SM1629, SM4839"
Clinic,18726,"SM5146, SM4407"
Hospital,47259,"SM1950, SM3214"
Surgeon,7083,"SM4231, SM2891, SM4488"
Clinic,15849,SM3564
Clinic,15844,"SM4419, SM3781, SM1931, SM4965, SM3089"
Procurement Officer,8853,"SM3534, SM2489, SM2551, SM3629"
Clinic,9584,"SM2145, SM2140, SM5201, SM2882, SM5166"
Clinic,18018,"SM4606, SM2741, SM4856"
Surgeon,10136,"SM4232, SM2138, SM1840"
Clinic,9310,"SM2577, SM5205, SM1762, SM1936, SM3789"
Surgeon,12887,SM1894
Hospital,15420,"SM3032, SM4440, SM4993, SM3212, SM3706"
Procurement Officer,3375,"SM2688, SM4544, SM4860, SM1852"
Clinic,5132,"SM2860, SM3709, SM5119, SM1950, SM5113"
Procurement Officer,2484,"SM4652, SM4420"
Hospital,48361,"SM3118, SM3275, SM1774, SM3253"
Procurement Officer,5105,"SM3180, SM1918, SM5191, SM2845, SM2682"
Procurement Officer,9085,"SM5203, SM1746, SM2828"
Hospital,12897,"SM4981, SM2620, SM3108, SM2584, SM2059"
Procurement Officer,3447,"SM2051, SM2009, SM1085, SM4695, SM4524"
Procurement Officer,5254,"SM2823, SM1830, SM3733"
Hospital,27854,"SM3781, SM4823"
Hospital,29069,"SM3106, SM4359, SM3079, SM2074, SM2881"
Surgeon,14080,"SM2842, SM4516, SM1930, SM3502"
Procurement Officer,2046,SM3248
Surgeon,14391,SM4966
Hospital,46854,"SM2619, SM4960, SM4512, SM3520"
Hospital,16138,"SM3243, SM1883, SM4214"
Surgeon,11295,SM2884
Clinic,16438,"SM3063, SM4576, SM4685, SM2737, SM2021"
Clinic,15733,SM1644
Surgeon,8731,"SM4554, SM3559"
Surgeon,11044,SM1795
Hospital,15686,"SM2718, SM3629, SM3135, SM4809"
Surgeon,9966,"SM2441, SM4319, SM4817, SM2823, SM4607"
Clinic,15968,"SM4647, SM1582"
Clinic,12861,"SM2741, SM4969, SM2946, SM5058"
Clinic,10791,"SM1619, SM3751, SM4890, SM4966"
Clinic,13679,"SM2167, SM3184, SM4647, SM2927"
Surgeon,5738,"SM4689, SM1595, SM1777, SM3578"
Procurement Officer,7038,"SM4686, SM2117"
Clinic,8281,"SM4555, SM3149"
Surgeon,14742,"SM4616, SM4228, SM3097, SM5130, SM4661"
Surgeon,9623,"SM5199, SM4241, SM4205, SM1869"
Surgeon,3066,"SM5204, SM2719, SM4978"
Hospital,29858,"SM4649, SM4326"
Hospital,43320,"SM3706, SM1802, SM2583, SM5004"
Hospital,19785,"SM3776, SM2082, SM2709"
Surgeon,6733,"SM4512, SM4791, SM2644"
Hospital,46457,"SM0748, SM2889, SM1879, SM4577"
Surgeon,13181,"SM2083, SM4968, SM2830, SM3751, SM2803"
Hospital,38248,"SM2740, SM5200"
Surgeon,11823,"SM4501, SM5203, SM0451"
Hospital,22019,"SM0451, SM4501"
Procurement Officer,7112,"SM4426, SM5056, SM4575, SM1808"
Surgeon,12013,"SM4962, SM1663, SM1772, SM2163, SM2084"
Clinic,17479,"SM2480, SM5130, SM3511, SM2737, SM2762"
Hospital,30705,"SM2065, SM1744, SM4653"
Clinic,16276,"SM1621, SM2575"
Surgeon,3128,"SM4686, SM2859, SM2040"
Surgeon,8049,"SM4324, SM4996, SM5139, SM2765"
Procurement Officer,9035,"SM2103, SM2601"
Surgeon,12944,SM1926
Hospital,18048,"SM2829, SM4895, SM4325, SM1912"
Hospital,34627,"SM4366, SM4688, SM1852, SM4541"
Procurement Officer,5269,SM4564
Hospital,19459,"SM1807, SM1759, SM5208, SM3848"
Hospital,26205,"SM3516, SM2072, SM3276"
Clinic,17983,"SM2823, SM3531"
Procurement Officer,6957,"SM2609, SM4852, SM1708, SM3054, SM4874"
Surgeon,12478,SM1921
Clinic,11365,SM1893
Clinic,9245,"SM1979, SM4553, SM4667, SM1455"
Surgeon,10203,SM3503
Hospital,40002,"SM4203, SM4679"
Surgeon,7364,SM4980
Hospital,36642,SM3720
Surgeon,13809,SM1769
Surgeon,12415,SM4255
Clinic,17161,"SM2755, SM1961"
Hospital,25950,SM2029
Clinic,14976,"SM4215, SM1913"
Hospital,35572,"SM4481, SM3093, SM5128"
Procurement Officer,4632,"SM1876, SM3799, SM3787"
